Record Type,Make,Body Type,Vehicle Category
VEH,MERC,SUBN,Combination Short-haul Truck
VEH,CONT,2DSD,Other Buses
VEH,LIN,4DSD,Combination Long-haul Truck
VEH,LINC,CONV,Light Commercial Truck
VEH,LI,4DSD,Combination Long-haul Truck
VEH,LINCL,CONV,Light Commercial Truck
VEH,UBCO,MCY,Motorcycle
VEH,UBCO,MOPD,Light Commercial Truck
VEH,RYVID,MCY,Motorcycle
VEH,FOR,CONV,Light Commercial Truck
VEH,OTHER,MCY,Motorcycle
VEH,FL/EB,MCY,Motorcycle
VEH,FLYE,MCY,Motorcycle
VEH,FLYEB,MCY,Motorcycle
VEH,FL/E,MCY,Motorcycle
VEH,FL/EB,MOPD,Light Commercial Truck
VEH,FLYBI,MCY,Motorcycle
VEH,FLY,MCY,Motorcycle
VEH,EBIKE,MCY,Motorcycle
VEH,FL/BI,MCY,Motorcycle
VEH,FL/BE,MCY,Motorcycle
VEH,FLY,MOPD,Light Commercial Truck
VEH,FLYBI,MOPD,Light Commercial Truck
VEH,FL/BI,MOPD,Light Commercial Truck
VEH,LION,BUS,Passenger Car
VEH,GEM,LSV,Motor Home
VEH,POLAR,LSV,Motor Home
VEH,OTHER,SUBN,Combination Short-haul Truck
VEH,POLAR,4DSD,Combination Long-haul Truck
VEH,OTHER,4DSD,Combination Long-haul Truck
VEH,TOYOT,SUBN,Combination Short-haul Truck
VEH,TESLA,SUBN,Combination Short-haul Truck
VEH,TESLA,4DSD,Combination Long-haul Truck
VEH,TESLA,TAXI,Single Unit Long-haul Truck
VEH,TESLA,2DSD,Other Buses
VEH,TESLA,SEDN,Single Unit Long-haul Truck
VEH,CITC,LSV,Motor Home
VEH,BINTE,LSV,Motor Home
VEH,FOD,2DSD,Other Buses
VEH,HILLM,4DSD,Combination Long-haul Truck
VEH,RIVIA,SUBN,Combination Short-haul Truck
VEH,RVN,SUBN,Combination Short-haul Truck
